Date,Month,Quarter,Year,Period
06-17-18,6,Q2 2018,2018,201806
06-18-18,6,Q2 2018,2018,201806
06-19-18,6,Q2 2018,2018,201806
06-20-18,6,Q2 2018,2018,201806
06-21-18,6,Q2 2018,2018,201806
06-22-18,6,Q2 2018,2018,201806
06-23-18,6,Q2 2018,2018,201806
06-24-18,6,Q2 2018,2018,201806
06-25-18,6,Q2 2018,2018,201806
06-26-18,6,Q2 2018,2018,201806
06-27-18,6,Q2 2018,2018,201806
06-28-18,6,Q2 2018,2018,201806
06-29-18,6,Q2 2018,2018,201806
06-30-18,6,Q2 2018,2018,201806
07-01-18,7,Q3 2018,2018,201807
07-02-18,7,Q3 2018,2018,201807
07-03-18,7,Q3 2018,2018,201807
07-04-18,7,Q3 2018,2018,201807
07-05-18,7,Q3 2018,2018,201807
07-06-18,7,Q3 2018,2018,201807
07-07-18,7,Q3 2018,2018,201807
07-08-18,7,Q3 2018,2018,201807
07-09-18,7,Q3 2018,2018,201807
07-10-18,7,Q3 2018,2018,201807
07-11-18,7,Q3 2018,2018,201807
07-12-18,7,Q3 2018,2018,201807
07-13-18,7,Q3 2018,2018,201807
07-14-18,7,Q3 2018,2018,201807
07-15-18,7,Q3 2018,2018,201807
07-16-18,7,Q3 2018,2018,201807
07-17-18,7,Q3 2018,2018,201807
07-18-18,7,Q3 2018,2018,201807
07-19-18,7,Q3 2018,2018,201807
07-20-18,7,Q3 2018,2018,201807
07-21-18,7,Q3 2018,2018,201807
07-22-18,7,Q3 2018,2018,201807
07-23-18,7,Q3 2018,2018,201807
07-24-18,7,Q3 2018,2018,201807
07-25-18,7,Q3 2018,2018,201807
07-26-18,7,Q3 2018,2018,201807
07-27-18,7,Q3 2018,2018,201807
07-28-18,7,Q3 2018,2018,201807
07-29-18,7,Q3 2018,2018,201807
07-30-18,7,Q3 2018,2018,201807
07-31-18,7,Q3 2018,2018,201807
08-01-18,8,Q3 2018,2018,201808
08-02-18,8,Q3 2018,2018,201808
08-03-18,8,Q3 2018,2018,201808
08-04-18,8,Q3 2018,2018,201808
08-05-18,8,Q3 2018,2018,201808
08-06-18,8,Q3 2018,2018,201808
08-07-18,8,Q3 2018,2018,201808
08-08-18,8,Q3 2018,2018,201808
08-09-18,8,Q3 2018,2018,201808
08-10-18,8,Q3 2018,2018,201808
08-11-18,8,Q3 2018,2018,201808
08-12-18,8,Q3 2018,2018,201808
08-13-18,8,Q3 2018,2018,201808
08-14-18,8,Q3 2018,2018,201808
08-15-18,8,Q3 2018,2018,201808
08-16-18,8,Q3 2018,2018,201808
08-17-18,8,Q3 2018,2018,201808
08-18-18,8,Q3 2018,2018,201808
08-19-18,8,Q3 2018,2018,201808
08-20-18,8,Q3 2018,2018,201808
